date,diff
2017-05-10,123.447852761
2017-05-09,114.682559028
2017-05-08,98.6018393292
2017-05-07,90.2803482076
2017-05-06,89.3028437886
2017-05-05,86.8515840314
2017-05-04,98.5853021978
2017-05-03,86.390167348
2017-05-02,84.7449942698
2017-05-01,79.0003776557
2017-04-30,66.5937461206
2017-04-29,67.9799223542
2017-04-28,64.9930742683
2017-04-27,70.6461666379
2017-04-26,70.7836182336
2017-04-25,68.5565651341
2017-04-24,65.1376672739
2017-04-23,65.173025732
2017-04-22,64.3784909088
2017-04-21,66.5911777282
2017-04-20,64.6141062193
2017-04-19,60.1974358974
2017-04-18,59.1939151683
2017-04-17,59.7562891959
2017-04-16,63.1424375918
2017-04-15,56.8070771408
2017-04-14,58.382308443
2017-04-13,56.916575638
2017-04-12,66.1214182344
2017-04-11,73.3896406024
2017-04-10,74.3811486958
2017-04-09,76.337651847
2017-04-08,71.6471229089
2017-04-07,70.372214822
2017-04-06,68.6206317973
2017-04-05,60.1331258122
2017-04-04,65.3723899011
2017-04-03,68.1768602768
2017-04-02,63.279022082
2017-04-01,60.6157730231
2017-03-31,61.3300286478
2017-03-30,53.9679031328
2017-03-29,45.7444642016
2017-03-28,42.050402148
2017-03-27,44.8616300522
2017-03-26,41.2571730928
2017-03-25,34.3084662592
2017-03-24,41.920812034
2017-03-23,52.5582132108
2017-03-22,51.6997600528
2017-03-21,69.4805624483
2017-03-20,58.4003062889
2017-03-19,62.1447168493
2017-03-18,46.750220096
2017-03-17,75.2233406894
2017-03-16,89.2837527418
2017-03-15,101.76644109
2017-03-14,101.346473465
2017-03-13,98.3160065298
2017-03-12,96.1543325927
2017-03-11,88.0992281607
2017-03-10,103.755103441
2017-03-09,97.1515752111
2017-03-08,87.7613522587
2017-03-07,103.806228374
2017-03-06,116.336980542
2017-03-05,115.07282208
2017-03-04,113.220765612
2017-03-03,116.590050718
2017-03-02,116.753843082
2017-03-01,109.425404598
2017-02-28,105.777928456
2017-02-27,105.463841445
2017-02-26,103.172780631
2017-02-25,96.7092417169
2017-02-24,105.901843337
2017-02-23,102.227269708
2017-02-22,97.1002303659
2017-02-21,94.8438357075
2017-02-20,84.7983587772
2017-02-19,84.6790585269
2017-02-18,85.9087448235
2017-02-17,85.259756678
2017-02-16,84.4678103671
2017-02-15,79.7827402305
2017-02-14,75.5552209315
2017-02-13,73.8984172503
2017-02-12,73.2960791499
2017-02-11,75.3436365981
2017-02-10,72.6002206694
2017-02-09,69.0071200707
2017-02-08,82.7281251724
2017-02-07,81.0574726155
2017-02-06,76.1618372716
2017-02-05,74.5969732627
2017-02-04,72.165715078
2017-02-03,69.876981268
2017-02-02,69.1558394817
2017-02-01,67.5720224904
2017-01-31,65.7310713384
2017-01-30,58.6060029339
2017-01-29,57.8747302606
2017-01-28,62.4216207262
2017-01-27,67.9858632446
2017-01-26,68.808495603
2017-01-25,62.8692607868
2017-01-24,61.4576077029
2017-01-23,67.857874038
2017-01-22,68.3728515625
2017-01-21,70.1831621498
2017-01-20,63.1401612028
2017-01-19,65.1065762656
2017-01-18,61.1000971817
2017-01-17,65.7995217937
2017-01-16,52.6279299527
2017-01-15,51.4016618774
2017-01-14,49.5150494853
2017-01-13,53.4289982702
2017-01-12,51.1847826087
2017-01-11,48.0026356162
2017-01-10,68.8313534567
2017-01-09,69.5177670983
2017-01-08,69.9923664122
2017-01-07,64.0699401928
2017-01-06,61.6729394769
2017-01-06,79.4676870813
2017-01-05,101.039078383
2017-01-04,87.889673786
2017-01-03,81.1949943202
2017-01-02,75.5868301557
2017-01-01,71.608748331
2016-12-31,75.0005750167
2016-12-30,76.2968518317
2016-12-29,82.7283587936
2016-12-28,91.2737288136
2016-12-27,61.0546290757
2016-12-26,55.3484651102
2016-12-25,46.2645231481
2016-12-24,50.4612928428
2016-12-23,39.6863237777
2016-12-22,35.5896075599
2016-12-21,31.2778425114
