date,diff
2017-05-10,43.1433187773
2017-05-09,37.7744540001
2017-05-08,28.6896874433
2017-05-07,21.5517996322
2017-05-06,24.8056029998
2017-05-05,21.6959734306
2017-05-04,31.8520605603
2017-05-03,27.0543643264
2017-05-02,24.8837077645
2017-05-01,20.0519570358
2017-04-30,17.3792412646
2017-04-29,20.7262557618
2017-04-28,19.3569090878
2017-04-27,25.7340522416
2017-04-26,24.8616667864
2017-04-25,20.8775677319
2017-04-24,23.608889556
2017-04-23,27.4013774859
2017-04-22,31.7122127813
2017-04-21,27.6813351858
2017-04-20,19.2815824661
2017-04-19,19.8066049681
2017-04-18,10.2166244882
2017-04-17,15.1643993553
2017-04-16,17.1909695741
2017-04-15,20.6436819172
2017-04-14,7.73355416686
2017-04-13,-3.13524531997
2017-04-12,-1.51196310052
2017-04-11,-1.29360141195
2017-04-10,-0.486966109259
2017-04-09,-1.16618608194
2017-04-08,0.232069263194
2017-04-07,-3.76431238532
2017-04-06,-1.94237588652
2017-04-05,-5.39178571429
2017-04-04,-9.90849368279
2017-04-03,-11.2934059527
2017-04-02,-12.9656275518
2017-04-01,-14.4509306913
2017-03-31,-16.0743215031
2017-03-30,-19.7837634678
2017-03-29,-17.129461428
2017-03-28,-16.653413033
2017-03-27,-16.7941475832
2017-03-26,-19.2853602934
2017-03-25,-20.566572238
2017-03-24,-19.8622907931
2017-03-23,-12.156298652
2017-03-22,-12.0753068158
2017-03-21,-2.66551612964
2017-03-20,-4.755
2017-03-19,-2.12714810647
2017-03-18,-12.4697844877
2017-03-17,2.63425232094
2017-03-16,10.603358635
2017-03-15,20.6861961395
2017-03-14,22.7450972171
2017-03-13,22.0415195654
2017-03-12,21.5441648325
2017-03-11,15.1312517212
2017-03-10,27.3063714227
2017-03-09,24.3931385369
2017-03-08,10.3813117351
2017-03-07,19.8077359606
2017-03-06,26.3856534977
2017-03-05,26.3974131237
2017-03-04,24.0445791431
2017-03-03,28.1107285287
2017-03-02,28.0751966066
2017-03-01,26.726667326
2017-02-28,26.8297795609
2017-02-27,29.9882616187
2017-02-26,28.8844336245
2017-02-25,25.8241567374
2017-02-24,29.3000347665
2017-02-23,27.9376125251
2017-02-22,27.6896914517
2017-02-21,25.5344451984
2017-02-20,16.0267131243
2017-02-19,14.519785572
2017-02-18,15.6776429809
2017-02-17,17.8101404923
2017-02-16,15.2459800593
2017-02-15,15.9067013113
2017-02-14,12.3663888856
2017-02-13,19.6805130425
2017-02-12,22.0161290323
2017-02-11,24.0807196516
2017-02-10,19.7673147795
2017-02-09,16.2421796678
2017-02-08,30.81412634
2017-02-07,13.9177982278
2017-02-06,11.303766754
2017-02-05,8.43271055278
2017-02-04,11.5808523059
2017-02-03,10.9164512338
2017-02-02,-1.56882702378
2017-02-01,-14.5252327747
2017-01-31,-8.66084676518
2017-01-30,-11.298333016
2017-01-29,-10.2575016853
2017-01-28,-5.69063858205
2017-01-27,-5.78068699668
2017-01-26,-7.71890230469
2017-01-25,-10.7402908083
2017-01-24,-5.96494859976
2017-01-23,0.0890840216397
2017-01-22,0.331432499024
2017-01-21,1.10676816913
2017-01-20,-4.8403870501
2017-01-19,2.33351394399
2017-01-18,4.0360973222
2017-01-17,10.0728242937
2017-01-16,3.66846192057
2017-01-15,2.5049144387
2017-01-14,1.44686569524
2017-01-13,4.15936022105
2017-01-12,2.30144826756
2017-01-11,1.60675653412
2017-01-10,16.9412322275
2017-01-09,16.4916351203
2017-01-09,18.6977705878
2017-01-08,17.3406826903
2017-01-07,16.2068260781
2017-01-06,31.3710622458
2017-01-05,48.3727874399
2017-01-04,38.8232966806
2017-01-03,37.734080939
2017-01-02,29.7736350438
2017-01-01,26.8481871021
2016-12-31,25.4921165332
2016-12-30,30.6007995593
2016-12-29,33.3485863843
2016-12-28,30.9125954696
2016-12-27,24.1344304184
2016-12-26,24.5854887437
2016-12-25,23.3442076808
2016-12-24,26.5333811291
2016-12-23,18.0036359423
2016-12-22,14.3620346689
2016-12-21,10.2048081696
2016-12-20,10.3357902177
2016-12-19,9.87720111214
2016-12-18,7.66936400155
2016-12-17,6.65485471297
2016-12-16,8.87243740741
2016-12-15,7.23138645863
2016-12-14,11.0330470593
2016-12-13,12.1169829432
2016-12-12,13.1251061465
2016-12-11,14.0549424748
2016-12-10,11.0258641265
2016-12-09,10.3706010116
2016-12-08,8.32370117099
2016-12-07,11.125444508
2016-12-06,11.4568006037
2016-12-05,15.610459588
2016-12-04,14.1712379658
2016-12-03,15.1111463453
2016-12-02,12.948723142
2016-12-01,4.75676176999
2016-11-30,5.07116355453
2016-11-29,8.01882389546
2016-11-28,10.8210462209
2016-11-27,9.82548714199
2016-11-26,11.2191386708
2016-11-25,11.4469228446
2016-11-24,12.0030757157
2016-11-23,16.1523397934
2016-11-22,15.2130559064
2016-11-21,14.765
2016-11-20,17.337258534
2016-11-19,21.3508119621
2016-11-18,18.6949356223
2016-11-17,20.3533084861
2016-11-16,13.7499806401
2016-11-15,13.0833390777
2016-11-14,10.8991746293
2016-11-13,9.51721513911
2016-11-12,13.2161227803
2016-11-11,13.9013195939
2016-11-10,13.9426675078
