date,diff
2017-05-10,147.457993058
2017-05-09,146.732861358
2017-05-08,130.554325814
2017-05-07,119.828951536
2017-05-06,121.150442618
2017-05-05,118.675501976
2017-05-04,126.17806613
2017-05-03,105.034557632
2017-05-02,100.496840765
2017-05-01,98.3383460747
2017-04-30,89.8881889764
2017-04-29,87.8869093726
2017-04-28,90.0426526087
2017-04-27,93.4754811023
2017-04-26,92.3662393114
2017-04-25,93.6613697289
2017-04-24,91.4644258299
2017-04-23,91.8720082726
2017-04-22,90.6319467554
2017-04-21,98.237793387
2017-04-20,98.7186072615
2017-04-19,95.3196210278
2017-04-18,93.6565074107
2017-04-17,92.2060491493
2017-04-16,89.9692307692
2017-04-15,88.9983405652
2017-04-14,90.9080168083
2017-04-13,89.7674919193
2017-04-12,97.5831798544
2017-04-11,99.7040684115
2017-04-10,104.434729528
2017-04-09,105.220395645
2017-04-08,100.485203283
2017-04-07,102.34552809
2017-04-06,100.930128811
2017-04-05,92.3300574415
2017-04-04,95.0984487092
2017-04-03,95.2861153375
2017-04-02,89.4527372296
2017-04-01,83.3291293831
2017-03-31,84.8577458284
2017-03-30,77.2923027005
2017-03-29,76.7169024737
2017-03-28,73.4740003948
2017-03-27,72.690671739
2017-03-26,67.3507462687
2017-03-25,61.3276914797
2017-03-24,66.0243207509
2017-03-23,81.2590455434
2017-03-22,76.8042842137
2017-03-21,87.9869355401
2017-03-20,74.3216385011
2017-03-19,77.856803912
2017-03-18,62.4199805122
2017-03-17,87.3577981651
2017-03-16,102.241770977
2017-03-15,113.553967933
2017-03-14,114.979038931
2017-03-13,113.344608958
2017-03-12,114.864953412
2017-03-11,97.1221098668
2017-03-10,113.815961497
2017-03-09,103.247279994
2017-03-08,99.7727356035
2017-03-07,116.985267842
2017-03-06,122.315501253
2017-03-05,119.522788194
2017-03-04,123.44746439
2017-03-03,135.217102015
2017-03-02,134.869565558
2017-03-01,124.162244124
2017-02-28,117.236282593
2017-02-27,118.706940272
2017-02-26,116.21938357
2017-02-25,112.980425438
2017-02-24,116.423685791
2017-02-23,114.728622933
2017-02-22,107.224692153
2017-02-21,104.707694875
2017-02-20,92.4716073147
2017-02-19,92.6829315745
2017-02-18,94.0310077519
2017-02-17,95.3901960784
2017-02-16,93.0091305136
2017-02-15,88.3685966634
2017-02-14,85.3517806179
2017-02-13,86.0390568153
2017-02-12,85.9297045468
2017-02-11,81.2533084525
2017-02-10,79.0096448342
2017-02-09,71.860635284
2017-02-08,86.7695505346
2017-02-07,85.6056754894
2017-02-06,77.077854861
2017-02-05,74.5347780107
2017-02-04,79.3465253681
2017-02-03,80.6848790207
2017-02-02,78.0678856121
2017-02-01,79.0279628466
2017-01-31,95.9150326797
2017-01-30,60.5567356065
2017-01-29,51.8857799719
