date,diff
2017-05-10,204.073757307
2017-05-09,196.396381238
2017-05-08,171.809556246
2017-05-07,155.843102558
2017-05-06,164.231920999
2017-05-05,162.458796474
2017-05-04,177.545460828
2017-05-03,163.954527559
2017-05-02,148.853976212
2017-05-01,131.024716927
2017-04-30,112.680294917
2017-04-29,106.446286619
2017-04-28,103.449574273
2017-04-27,105.932033898
2017-04-26,100.493498892
2017-04-25,96.9199697046
2017-04-24,93.5824223088
2017-04-23,90.3197895642
2017-04-22,91.0777035986
2017-04-21,93.1468823289
2017-04-20,89.9722231408
2017-04-19,85.2847845786
2017-04-18,84.8879593176
2017-04-17,82.7300935783
2017-04-16,79.7734627832
2017-04-15,83.7278185014
2017-04-14,84.46407092
2017-04-13,82.5749883092
2017-04-12,91.9563545151
2017-04-11,90.445806356
2017-04-10,93.3848604657
2017-04-09,94.0843372877
2017-04-08,90.7614474361
2017-04-07,88.46564727
2017-04-06,95.6562908738
2017-04-05,72.3164604303
2017-04-04,74.1811288785
2017-04-03,75.9385496937
2017-04-02,74.4210614996
2017-04-01,61.5219938958
2017-03-31,65.1354904442
2017-03-30,59.3663898145
2017-03-29,65.3548743441
2017-03-28,58.4483547892
2017-03-27,58.3708198444
2017-03-26,55.8230392268
2017-03-25,46.098060669
2017-03-24,48.1954268521
2017-03-23,78.1604942839
2017-03-22,69.881517015
2017-03-21,76.3356282272
2017-03-20,46.8115897309
2017-03-19,43.4514177968
2017-03-18,27.7399830249
2017-03-17,52.2094292035
2017-03-16,60.617340191
2017-03-15,88.4998216775
2017-03-14,91.5726586355
2017-03-13,89.8731053408
2017-03-12,94.6605268068
2017-03-11,111.358508639
2017-03-10,130.010127828
2017-03-09,122.340824816
2017-03-08,112.631727623
2017-03-07,131.829068374
2017-03-06,134.834197629
2017-03-05,134.383518413
2017-03-04,134.263812783
2017-03-03,138.000790514
2017-03-02,148.810833333
2017-03-01,141.95689234
2017-02-28,140.720517933
2017-02-27,135.097192451
2017-02-26,135.080220713
