date,diff
2017-05-10,70.6214865709
2017-05-09,65.8865595888
2017-05-08,55.4365450643
2017-05-07,46.4799434343
2017-05-06,46.3289969171
2017-05-05,48.7870203058
2017-05-04,56.0863879994
2017-05-03,35.3073716245
2017-05-02,34.8856767143
2017-05-01,34.1105852476
2017-04-30,28.6643215009
2017-04-29,26.9729277726
2017-04-28,26.6104821652
2017-04-27,30.2400495686
2017-04-26,31.4495060373
2017-04-25,31.7978662459
2017-04-24,33.7532793165
2017-04-23,33.9872960373
2017-04-22,33.0662020906
2017-04-21,33.8621375847
2017-04-20,33.682882929
2017-04-19,34.5268034968
2017-04-18,32.8486461658
2017-04-17,29.7384603454
2017-04-16,29.4382780686
2017-04-15,28.261523858
2017-04-14,31.8386180786
2017-04-13,28.012728525
2017-04-12,39.9885230143
2017-04-11,36.1600706714
2017-04-10,43.9965400768
2017-04-09,47.1413169121
2017-04-08,41.1386628273
2017-04-07,43.9894191388
2017-04-06,44.9513442623
2017-04-05,41.2009098691
2017-04-04,23.2292979636
2017-04-03,25.5648914168
2017-04-02,20.102356568
2017-04-01,17.9146338617
2017-03-31,17.7425504682
2017-03-30,5.35050880753
2017-03-29,-10.2628661531
2017-03-28,-4.41896523584
2017-03-27,-3.76053342187
2017-03-26,-5.01528417119
2017-03-25,-5.03797717005
2017-03-24,-2.06730653423
2017-03-23,5.02715376227
2017-03-22,0.813316490578
2017-03-21,14.1689767654
2017-03-20,9.99018407742
2017-03-19,13.7922470158
2017-03-18,1.33202393057
2017-03-17,17.3884840104
2017-03-16,32.2854063711
2017-03-15,46.471447235
2017-03-14,51.8827116859
2017-03-13,51.1139326666
2017-03-12,51.1442466702
2017-03-11,44.5803533368
2017-03-10,58.1113360512
2017-03-09,51.4688502674
2017-03-08,46.1001150002
2017-03-07,59.4682001735
2017-03-06,63.5009864342
2017-03-05,62.4027606943
2017-03-04,60.6789813243
2017-03-03,64.4747336793
2017-03-02,64.4071244861
2017-03-01,60.0320341698
2017-02-28,57.1598238338
2017-02-27,58.4081168671
2017-02-26,52.462775519
2017-02-25,49.9762157618
2017-02-24,53.3771693969
2017-02-23,54.8287207277
2017-02-22,52.2078291815
2017-02-21,51.8047312113
2017-02-20,44.1819982159
2017-02-19,42.6504150498
2017-02-18,43.7372842541
2017-02-17,42.5272552885
2017-02-16,39.9466970277
2017-02-15,36.6958743651
2017-02-14,35.411098316
2017-02-13,35.8182940661
2017-02-12,37.6091004306
2017-02-11,34.7827441826
2017-02-10,33.7757293845
2017-02-09,32.5474314798
2017-02-08,43.2447395163
2017-02-07,48.974517491
2017-02-06,45.2016318917
2017-02-05,45.3472656642
2017-02-04,47.8420173417
2017-02-03,42.6330201667
2017-02-02,43.4851445846
2017-02-01,38.259933995
2017-01-31,39.09568543
2017-01-30,35.356142869
2017-01-29,33.4066879457
2017-01-28,36.8403273385
2017-01-27,36.1960785553
2017-01-26,39.1930803084
2017-01-25,26.1285455643
2017-01-24,26.5220311844
2017-01-23,35.245451263
2017-01-22,37.4800637959
2017-01-21,33.7907455323
2017-01-20,34.0593003073
2017-01-19,34.2199399037
2017-01-18,33.3631522211
2017-01-17,41.2017316476
2017-01-16,32.1828333333
2017-01-15,29.6562941631
2017-01-14,27.9957561056
2017-01-13,34.5689458391
2017-01-12,32.3983172124
2017-01-11,30.1599681104
2017-01-10,48.6306206925
2017-01-09,47.7104201004
2017-01-09,48.6326820665
2017-01-08,47.9645228251
2017-01-07,46.2204656905
2017-01-06,65.9114782609
2017-01-05,84.5455960431
2017-01-04,71.2228732452
2017-01-03,74.2668880376
2017-01-02,71.5970978306
2017-01-01,64.808246309
2016-12-31,64.3293779216
2016-12-30,67.4507166835
2016-12-29,70.4893539581
2016-12-28,65.457367633
2016-12-27,57.6794245236
2016-12-26,58.3168578799
2016-12-25,55.3504999101
2016-12-24,62.0375625754
2016-12-23,52.5559666325
2016-12-22,49.5024617777
2016-12-21,42.9521027049
2016-12-20,41.1697730209
2016-12-19,41.6878864363
2016-12-18,41.5012059709
2016-12-17,40.1717504043
2016-12-16,40.8064941425
2016-12-15,38.8230672827
2016-12-14,37.1967393354
2016-12-13,35.4834795749
2016-12-12,34.5319266055
2016-12-11,34.3223330464
2016-12-10,35.2431418005
2016-12-09,33.9723247232
2016-12-08,31.8847031124
2016-12-07,31.5877416867
2016-12-06,30.81131146
2016-12-05,35.1630145399
2016-12-04,29.7925945922
2016-12-03,30.812261929
2016-12-02,28.9331798522
2016-12-01,28.7883373966
2016-11-30,27.6351404813
2016-11-29,27.7892487774
2016-11-28,28.1346651868
2016-11-27,29.801390436
2016-11-26,36.2806361814
2016-11-25,37.5371386352
2016-11-24,36.8873422417
2016-11-23,37.1564824898
2016-11-22,35.0247756535
2016-11-21,34.6492595479
2016-11-20,39.5878093889
2016-11-19,36.9328244898
2016-11-18,35.4748285994
2016-11-17,35.6079122601
2016-11-16,28.5822868473
2016-11-15,27.1871072127
2016-11-14,26.1342342412
2016-11-13,23.9164582
2016-11-12,29.6748334872
2016-11-11,29.0975007774
2016-11-10,29.4881889764
2016-11-09,25.1919226121
2016-11-08,25.2343268991
2016-11-07,24.7010725701
2016-11-06,21.0037394589
2016-11-05,20.0623367711
2016-11-04,20.3523550552
2016-11-03,25.5738012574
2016-11-02,23.9809635008
2016-11-01,20.5096177399
2016-10-31,16.7109975379
2016-10-30,19.0186944771
2016-10-29,22.0136558047
2016-10-28,20.8791800266
2016-10-27,22.5437762997
2016-10-26,27.0600453172
2016-10-25,13.3509845668
2016-10-24,8.50606994021
2016-10-23,5.63885826289
2016-10-22,-0.97662231599
2016-10-21,-1.42186440678
2016-10-20,-3.10049273881
2016-10-19,-1.88777920238
2016-10-18,-2.45768111508
2016-10-17,-2.97837434006
2016-10-16,-2.61171890104
2016-10-15,-2.52171462588
2016-10-14,-4.60331079953
2016-10-13,-3.35217797345
2016-10-12,-5.32999492693
2016-10-11,-8.27822494713
2016-10-10,-10.0114678527
2016-10-09,-8.65902191909
2016-10-08,-7.84138288037
2016-10-07,-7.92884095235
2016-10-06,-7.32951547346
2016-10-05,-9.16515275255
2016-10-04,-7.15629059794
2016-10-03,-7.73101014706
2016-10-02,-6.84453008197
2016-10-01,-8.80267500608
2016-09-30,-6.97139059347
2016-09-29,-9.61023036411
2016-09-28,-12.4438208157
2016-09-27,-10.9647263009
2016-09-26,-11.6724997034
2016-09-25,-14.0256
2016-09-24,-11.4296187442
2016-09-23,-13.7221035629
2016-09-22,-7.01423927619
2016-09-21,-5.89759182253
2016-09-20,-8.23094579086
2016-09-19,-7.24062696095
2016-09-18,-8.90531060023
2016-09-17,-12.8245716526
2016-09-16,-12.0937803369
2016-09-15,5.73340356216
2016-09-14,-7.02701411613
2016-09-13,-13.2413130504
2016-09-12,-19.8650797189
2016-09-11,-16.7352155013
2016-09-10,-16.0125377644
2016-09-09,-18.0522895126
2016-09-08,-15.3254447046
2016-09-07,-10.8824988831
2016-09-06,-11.5480322179
2016-09-05,-11.7282366117
2016-09-04,-4.49450316441
2016-09-03,-1.45337031398
2016-09-02,-0.188913911754
2016-09-01,1.02699092445
2016-08-31,1.62585060927
2016-08-30,-0.0734696884226
2016-08-29,-0.293113482056
2016-08-28,0.0748134585474
2016-08-27,1.59910534025
2016-08-26,5.82582707235
2016-08-25,6.27822362676
2016-08-24,8.13836477987
2016-08-23,8.12348040227
2016-08-22,8.29657634951
2016-08-21,10.6999452749
2016-08-20,15.2337506509
2016-08-19,20.6126380348
2016-08-18,26.8553255176
2016-08-17,28.5463485777
2016-08-16,28.0272460376
2016-08-15,30.5588670007
2016-08-14,32.7158815773
2016-08-13,33.9561809942
2016-08-12,33.4655685395
2016-08-11,32.177970297
2016-08-10,31.0393564356
2016-08-09,33.3629634056
2016-08-08,32.5294709692
2016-08-07,33.2339535659
2016-08-06,29.0824311581
2016-08-05,29.0206460032
2016-08-04,31.3655259823
2016-08-03,19.7535105316
2016-08-02,31.7733990148
2016-08-01,38.6478895703
2016-07-31,40.7646302887
2016-07-30,45.7949121453
2016-07-29,49.6865981469
2016-07-28,51.6050969767
2016-07-27,51.0635587823
2016-07-26,51.5477886882
2016-07-25,51.7450955575
2016-07-24,52.8210079559
2016-07-23,50.7059477767
2016-07-22,53.3384030418
2016-07-21,54.7999282254
2016-07-20,47.5567989967
2016-07-19,47.6845515874
2016-07-18,51.5900895032
2016-07-17,50.1332639766
2016-07-16,52.7752525253
2016-07-15,52.6261981481
2016-07-14,52.2259467758
2016-07-13,56.9614400561
2016-07-12,55.2016310536
2016-07-11,54.9587189735
2016-07-10,55.2790937395
2016-07-09,56.6701461378
2016-07-08,53.8360638396
2016-07-07,55.0593981869
2016-07-06,63.6618853006
2016-07-05,63.3184374035
2016-07-04,63.4942557261
2016-07-03,67.3310024896
2016-07-02,66.5849215821
2016-07-01,62.7077747989
2016-06-30,56.1867550778
2016-06-29,53.6889846151
2016-06-28,58.4601507808
2016-06-27,60.5874292942
2016-06-26,62.8766013263
2016-06-25,66.6308931661
2016-06-24,67.9378480968
2016-06-23,43.6181016412
2016-06-22,64.1155181247
2016-06-21,65.5086579514
2016-06-20,77.6785479761
2016-06-19,78.6577540107
2016-06-18,76.8367564684
2016-06-17,75.7180359695
2016-06-16,75.8607053507
2016-06-15,63.9921014723
2016-06-14,67.3433246179
2016-06-13,69.1150125403
2016-06-12,52.6583034648
2016-06-11,43.001916831
2016-06-10,38.4093257801
2016-06-09,36.5668067755
2016-06-08,35.8651910124
2016-06-07,37.9123597609
2016-06-06,38.9633401387
2016-06-05,38.229931958
2016-06-04,37.8911380773
2016-06-03,30.2360770023
2016-06-02,27.1410695276
2016-06-01,28.1156917995
2016-05-31,30.0268096515
2016-05-30,30.560895915
2016-05-29,28.4955114707
2016-05-28,20.8097000708
2016-04-11,4.85925607465
2016-04-10,4.7165443965
2016-04-09,7.24479830484
2016-04-08,-0.389780859921
2016-04-07,-6.55783205491
2016-04-06,-6.51376103102
2016-04-05,-10.2223296278
2016-04-04,-10.4025002552
2016-04-03,-8.91388902565
2016-04-02,-10.5293776855
2016-04-01,-12.5541847282
2016-03-31,-11.8740672989
2016-03-30,-8.92750448118
2016-03-29,-6.88863770935
2016-03-28,-3.79508942104
2016-03-27,-5.29802999267
2016-03-26,-6.10562997476
2016-03-25,-6.45950750899
2016-03-24,-4.49313291165
2016-03-23,-6.0798323571
2016-03-22,-4.05235006847
2016-03-21,-6.49317252552
2016-03-20,-5.81702290318
2016-03-19,-5.62893612697
2016-03-18,-10.9199029126
2016-03-17,-10.4730882954
2016-03-16,-7.04889550757
2016-03-15,-6.46205968811
2016-03-14,-8.35980956082
2016-03-13,-11.1150559176
2016-03-12,-13.0683744585
2016-03-11,-9.78457635091
2016-03-10,-10.4114017386
2016-03-09,-10.8762159401
2016-03-08,-8.9048677029
2016-03-07,-7.47240453461
2016-03-06,-6.83531625655
2016-03-05,-6.35785672507
2016-03-04,-5.81753949027
2016-01-18,38.143863122
2016-01-17,34.8875616145
2016-01-16,34.1785996331
2016-01-15,44.51561249
2016-01-14,62.6835236542
2016-01-13,69.4915972422
2016-01-12,75.3710455206
2016-01-11,76.9615983905
2016-01-10,78.0465971939
2016-01-09,74.3775837572
2016-01-08,80.6900862069
2016-01-07,88.0331912985
2016-01-06,81.8067570851
2016-01-05,84.1746684957
2016-01-04,84.0143778802
2016-01-03,82.597800362
2016-01-02,85.0927279167
2016-01-01,85.3624535316
2015-12-31,79.9305716269
2015-12-30,79.4266783414
2015-12-29,80.2735547018
2015-12-28,82.236223751
2015-12-27,80.6442040912
2015-12-26,80.5666494385
2015-12-25,95.509756585
2015-12-24,94.6491794824
2015-12-23,89.7295511398
2015-12-22,88.1823165409
2015-12-21,87.4664784757
2015-12-20,98.5672388096
2015-12-19,100.832065663
2015-12-18,99.3512169713
2015-12-17,101.737456564
2015-12-16,102.372306947
2015-12-15,102.196328325
2015-12-14,96.8255062515
2015-12-13,93.556097561
2015-12-12,88.2506623807
2015-12-11,91.5773612463
2015-12-10,83.6990291262
2015-12-09,86.7885375494
2015-12-08,76.1790365615
2015-12-07,76.8905109489
2015-12-06,75.424996168
2015-12-05,64.7028033945
2015-12-04,57.39274687
2015-12-03,55.9598612023
2015-12-02,58.0149036005
2015-12-01,56.9726665889
2015-11-30,63.9564007421
2015-11-29,59.1830118694
2015-11-28,57.8690088503
2015-11-27,63.3576008871
2015-11-26,58.6731738476
2015-11-25,50.1633214617
2015-11-24,49.3685322589
2015-11-23,48.1320524027
2015-11-22,49.1796836624
2015-11-21,48.9012981136
2015-11-20,42.5074686223
2015-11-19,50.0245676101
2015-11-18,54.6094617246
2015-11-17,59.8829898281
2015-11-16,57.3651941519
2015-11-15,48.7685393855
2015-11-14,53.6464173285
2015-11-13,49.2395426056
2015-11-12,45.0372267274
2015-11-11,35.6231694488
2015-11-10,43.9188898913
2015-11-09,47.6925262545
2015-11-08,48.9988386771
2015-11-07,45.9684567441
2015-11-06,49.4882101861
2015-11-05,51.3149106696
2015-11-04,82.0166716383
2015-11-03,49.4076712783
2015-11-02,26.2710105831
2015-11-01,18.0335211907
2015-10-31,15.7552766455
2015-10-30,13.9059256482
2015-10-29,10.8426681238
2015-10-28,3.68800241811
2015-10-27,2.38315948764
2015-10-26,-1.70208452859
2015-10-25,3.11096339039
2015-10-24,-1.40909767062
2015-10-23,-3.21083172147
2015-10-22,-6.82016738978
2015-10-21,-9.95028179559
2015-10-20,-11.9138922246
2015-10-19,-9.93144101438
2015-10-18,-12.3339991142
2015-10-17,-9.53693073096
2015-10-16,-9.91109477756
2015-10-15,-10.9237722194
2015-10-14,-12.757081502
2015-10-13,-14.0257124887
2015-10-12,-14.3674024438
2015-10-11,-14.0344336825
2015-10-10,-15.363497053
2015-10-09,-15.9405553383
2015-10-08,-14.503186331
2015-10-07,-17.9673355217
2015-10-06,-17.5312806324
2015-10-05,-18.7443129771
2015-10-04,-22.9188405797
2015-10-03,-19.3548570651
2015-10-02,-18.1453186467
2015-10-01,-13.4576243589
2015-09-30,-13.9639552204
2015-09-29,-13.7979556228
2015-09-28,-13.6476082018
2015-09-27,-12.5636153726
2015-09-26,-10.5096409972
2015-09-25,-8.56436287908
2015-09-24,-9.69696969697
2015-09-23,-12.0813736755
2015-09-22,-12.2813720496
2015-09-21,-11.0659321441
